obra,lugar,lugar_normalizado,Tipo,menciones,lng,lat,ID_Wikidata
Primera parte,Béjar,Béjar,"Continente, país, región, ciudad, pueblo",1,-5.761944444,40.38472222,Q695375
Primera parte,Berbería,Barbary Coast,"Continente, país, región, ciudad, pueblo",7,4,32,Q501768
Primera parte,Borgoña,Burgundy,"Continente, país, región, ciudad, pueblo",3,4.5,47,Q1173
Primera parte,Bretaña,Brittany,"Continente, país, región, ciudad, pueblo",1,-3,48,Q327
Primera parte,Cartagena,Cartagena,"Continente, país, región, ciudad, pueblo",1,-0.984166667,37.60194444,Q162615
Primera parte,Cartago,Carthage,"Continente, país, región, ciudad, pueblo",1,10.323461,36.852558,Q6343
Primera parte,Castilla,Castile,"Continente, país, región, ciudad, pueblo",5,-3.81666667,42.35,Q173063
Primera parte,Cataluña,Catalonia,"Continente, país, región, ciudad, pueblo",1,1.537777778,41.8375,Q5705
Primera parte,Catay,Cathay,"Continente, país, región, ciudad, pueblo",1,105,35,Q1050868
Primera parte,Chipre,Cyprus,"Continente, país, región, ciudad, pueblo",1,33,35,Q229
Primera parte,Compás de Sevilla,Compás de Sevilla,"Continente, país, región, ciudad, pueblo",1,-5.999517404,37.38588076,X
Primera parte,Constantinopla,Constantinople,"Continente, país, región, ciudad, pueblo",11,28.98,41.0125,Q16869
Primera parte,Córdoba,Córdoba,"Continente, país, región, ciudad, pueblo",2,-4.78,37.89,Q5818
Primera parte,Creta,Crete,"Continente, país, región, ciudad, pueblo",1,24.89333333,35.30972222,Q34374
Primera parte,Dinamarca,Denmark,"Continente, país, región, ciudad, pueblo",1,10,56,Q35
Primera parte,Egipto,Egypt,"Continente, país, región, ciudad, pueblo",1,29,27,Q79
Primera parte,España,Spain,"Continente, país, región, ciudad, pueblo",37,-3.5,40.2,Q29
Primera parte,Españas,Españas,"Continente, país, región, ciudad, pueblo",1,-3.5,40.2,Q29
Primera parte,Estrecho de Gibraltar,Strait of Gibraltar,Accidente geográfico,1,-5.516111111,35.97388889,Q36124
Primera parte,Estremadura,Extremadura,"Continente, país, región, ciudad, pueblo",5,-6.15,39.2,Q5777
Primera parte,Etiopía,Ethiopia,"Continente, país, región, ciudad, pueblo",2,40,9,Q115
Primera parte,Europa,Europe,"Continente, país, región, ciudad, pueblo",2,9.14062,48.690959,Q46
Primera parte,Fez,Fez,"Continente, país, región, ciudad, pueblo",1,-5.003333333,34.04333333,Q80985
Primera parte,Flandes,Flanders,"Continente, país, región, ciudad, pueblo",2,4.5,51,Q234
